date,gregorian_year,roc_year,month,songtao_total_kwh,valid_building_count,all_three_buildings_valid,strict_model_include,quality_status,semester,songtao_resident_count,estimated_open_days,estimated_resident_days,open_days_assumption,daily_mean_temperature_c,cooling_degree_days_26c,weather_status,base_model_ready_except_weather,model_ready
2021-09-01,2021,110,9,100931.0,3,True,True,有效,110-1,2087.0,21.0,43827.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,28.8,58.80000000000001,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2021-10-01,2021,110,10,142263.41,3,True,True,有效,110-1,2087.0,31.0,64697.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,25.2,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2021-11-01,2021,110,11,150208.14,3,True,True,有效,110-1,2087.0,30.0,62610.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,20.5,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2021-12-01,2021,110,12,161225.95,3,True,True,有效,110-1,2087.0,31.0,64697.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,17.3,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2022-01-01,2022,111,1,111889.6,3,True,True,有效,110-1,2087.0,31.0,64697.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,16.5,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2022-02-01,2022,111,2,55517.62,3,True,True,有效,110-2,2087.0,10.0,20870.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,15.6,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2022-03-01,2022,111,3,170691.0,3,True,True,有效,110-2,2087.0,31.0,64697.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,19.9,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2022-04-01,2022,111,4,148050.0,3,True,True,有效,110-2,2087.0,30.0,62610.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,21.4,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2022-05-01,2022,111,5,132817.0,3,True,True,有效,110-2,2087.0,31.0,64697.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,22.6,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2022-06-01,2022,111,6,112009.0,3,True,True,有效,110-2,2087.0,30.0,62610.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,27.3,39.00000000000002,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2022-07-01,2022,111,7,44954.0,3,True,True,有效,,,,,暑期未提供住宿／開館資料,29.7,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2022-08-01,2022,111,8,52131.0,3,True,True,有效,,,,,暑期未提供住宿／開館資料,29.8,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2022-09-01,2022,111,9,82915.9,3,True,True,有效,111-1,1885.0,30.0,56550.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,26.5,15.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2022-10-01,2022,111,10,144135.6,3,True,True,有效,111-1,1885.0,31.0,58435.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,23.7,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2022-11-01,2022,111,11,161382.25,3,True,True,有效,111-1,1885.0,30.0,56550.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,22.9,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2022-12-01,2022,111,12,164384.5,3,True,True,有效,111-1,1885.0,31.0,58435.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,15.8,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2023-01-01,2023,112,1,92304.0,3,True,True,有效,111-1,1885.0,31.0,58435.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,16.0,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2023-02-01,2023,112,2,60897.105,3,True,True,有效,111-2,1885.0,18.0,33930.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,16.2,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2023-03-01,2023,112,3,170447.0,3,True,True,有效,111-2,1885.0,31.0,58435.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,18.8,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2023-04-01,2023,112,4,151545.8,3,True,True,有效,111-2,1885.0,30.0,56550.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,21.7,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2023-05-01,2023,112,5,163950.0,3,True,True,有效,111-2,1885.0,31.0,58435.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,25.1,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2023-06-01,2023,112,6,123756.0,3,True,True,有效,111-2,1885.0,30.0,56550.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,28.1,63.00000000000004,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2023-07-01,2023,112,7,46761.605,3,True,True,有效,,,,,暑期未提供住宿／開館資料,30.0,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2023-08-01,2023,112,8,51081.0,3,True,True,有效,,,,,暑期未提供住宿／開館資料,29.2,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2023-09-01,2023,112,9,97558.11875,3,True,True,有效,112-1,2111.0,29.0,61219.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,28.6,75.40000000000003,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2023-10-01,2023,112,10,149893.8,3,True,True,有效,112-1,2111.0,31.0,65441.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,24.8,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2023-11-01,2023,112,11,166012.25,3,True,True,有效,112-1,2111.0,30.0,63330.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,21.6,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2023-12-01,2023,112,12,163002.75,3,True,True,有效,112-1,2111.0,31.0,65441.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,17.9,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2024-01-01,2024,113,1,99858.0,3,True,True,有效,112-1,2111.0,31.0,65441.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,15.9,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2024-02-01,2024,113,2,83968.0,3,True,True,有效,112-2,2111.0,13.0,27443.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,16.7,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2024-03-01,2024,113,3,179435.0,3,True,True,有效,112-2,2111.0,31.0,65441.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,18.4,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2024-04-01,2024,113,4,160096.0,3,True,True,有效,112-2,2111.0,30.0,63330.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,24.1,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2024-05-01,2024,113,5,188234.0,3,True,True,有效,112-2,2111.0,31.0,65441.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,24.7,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2024-06-01,2024,113,6,152214.0,3,True,True,有效,112-2,2111.0,30.0,63330.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,27.8,54.00000000000002,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2024-07-01,2024,113,7,64226.0,3,True,True,有效,,,,,暑期未提供住宿／開館資料,29.7,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2024-08-01,2024,113,8,61178.0,3,True,True,有效,,,,,暑期未提供住宿／開館資料,28.9,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2024-09-01,2024,113,9,188662.0,3,True,True,有效,113-1,2093.0,30.0,62790.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,28.7,80.99999999999997,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2024-10-01,2024,113,10,198184.0,3,True,True,有效,113-1,2093.0,31.0,64883.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,25.2,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2024-11-01,2024,113,11,192439.0,3,True,True,有效,113-1,2093.0,30.0,62790.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,21.5,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2024-12-01,2024,113,12,202449.0,3,True,True,有效,113-1,2093.0,31.0,64883.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,16.8,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2025-01-01,2025,114,1,81892.0,3,True,True,有效,113-1,2093.0,31.0,64883.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,15.3,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2025-02-01,2025,114,2,83245.0,3,True,True,有效,113-2,1974.0,14.0,27636.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,15.5,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2025-03-01,2025,114,3,176188.0,3,True,True,有效,113-2,1974.0,31.0,61194.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,17.3,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2025-04-01,2025,114,4,173003.0,3,True,True,有效,113-2,1974.0,30.0,59220.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,21.7,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2025-05-01,2025,114,5,155462.0,3,True,True,有效,113-2,1974.0,31.0,61194.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,25.1,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2025-06-01,2025,114,6,72870.0,3,True,False,統計低離群（保留原值）,113-2,1974.0,30.0,59220.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,28.4,71.99999999999996,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2025-07-01,2025,114,7,23747.0,3,True,False,統計低離群（保留原值）,,,,,暑期未提供住宿／開館資料,28.8,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2025-08-01,2025,114,8,24804.0,3,True,False,統計低離群（保留原值）,,,,,暑期未提供住宿／開館資料,29.6,,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2025-09-01,2025,114,9,,2,False,False,來源明示電表異常,114-1,2011.0,25.0,50275.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,29.6,90.00000000000003,中央氣象署 CODiS 淡水站 466900 月平均觀測,False,False
2025-10-01,2025,114,10,154238.0,3,True,True,有效,114-1,2011.0,31.0,62341.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,26.6,18.600000000000044,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2025-11-01,2025,114,11,166729.0,3,True,True,有效,114-1,2011.0,30.0,60330.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,21.4,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2025-12-01,2025,114,12,177761.0,3,True,True,有效,114-1,2011.0,31.0,62341.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,18.6,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2026-01-01,2026,115,1,94718.0,3,True,True,有效,114-1,2011.0,31.0,62341.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,15.4,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2026-02-01,2026,115,2,40735.0,3,True,True,有效,114-2,1948.0,8.0,15584.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,17.4,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2026-03-01,2026,115,3,141303.0,3,True,True,有效,114-2,1948.0,31.0,60388.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,18.7,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2026-04-01,2026,115,4,141669.0,3,True,True,有效,114-2,1948.0,30.0,58440.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,23.3,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2026-05-01,2026,115,5,173649.0,3,True,True,有效,114-2,1948.0,31.0,60388.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,25.5,0.0,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2026-06-01,2026,115,6,146696.0,3,True,True,有效,114-2,1948.0,30.0,58440.0,開館日起算；未提供閉館日，假設至學期末各月皆開館,26.6,18.000000000000043,中央氣象署 CODiS 淡水站 466900 月平均觀測,True,True
2026-07-01,2026,115,7,,0,False,False,缺值,,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2026-08-01,2026,115,8,,0,False,False,缺值,,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2026-09-01,2026,115,9,,0,False,False,缺值,115-1,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2026-10-01,2026,115,10,,0,False,False,缺值,115-1,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2026-11-01,2026,115,11,,0,False,False,缺值,115-1,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
2026-12-01,2026,115,12,,0,False,False,缺值,115-1,,,,暑期未提供住宿／開館資料,,,該月尚無可配對官方月均溫,False,False
